sentence,title
"Half a league, half a league,","Charge of the Light Brigade"
"Half a league onward,","Charge of the Light Brigade"
"All in the valley of Death","Charge of the Light Brigade"
"Rode the six hundred.","Charge of the Light Brigade"
"“Forward, the Light Brigade!","Charge of the Light Brigade"
"Charge for the guns!” he said.","Charge of the Light Brigade"
"Into the valley of Death","Charge of the Light Brigade"
"Rode the six hundred.","Charge of the Light Brigade"
"“Forward, the Light Brigade!”","Charge of the Light Brigade"
"Was there a man dismayed?","Charge of the Light Brigade"
"Not though the soldier knew","Charge of the Light Brigade"
"Someone had blundered.","Charge of the Light Brigade"
"Theirs not to make reply,","Charge of the Light Brigade"
"Theirs not to reason why,","Charge of the Light Brigade"
"Theirs but to do and die.","Charge of the Light Brigade"
"Into the valley of Death","Charge of the Light Brigade"
"Rode the six hundred.","Charge of the Light Brigade"
"Cannon to right of them,","Charge of the Light Brigade"
"Cannon to left of them,","Charge of the Light Brigade"
"Cannon in front of them","Charge of the Light Brigade"
"Volleyed and thundered;","Charge of the Light Brigade"
"Stormed at with shot and shell,","Charge of the Light Brigade"
"Boldly they rode and well,","Charge of the Light Brigade"
"Into the jaws of Death,","Charge of the Light Brigade"
"Into the mouth of hell","Charge of the Light Brigade"
"Rode the six hundred.","Charge of the Light Brigade"
"Flashed all their sabres bare,","Charge of the Light Brigade"
"Flashed as they turned in air","Charge of the Light Brigade"
"Sabring the gunners there,","Charge of the Light Brigade"
"Charging an army, while","Charge of the Light Brigade"
"All the world wondered.","Charge of the Light Brigade"
"Plunged in the battery-smoke","Charge of the Light Brigade"
"Right through the line they broke;","Charge of the Light Brigade"
"Cossack and Russian","Charge of the Light Brigade"
"Reeled from the sabre stroke","Charge of the Light Brigade"
"Shattered and sundered.","Charge of the Light Brigade"
"Then they rode back, but not","Charge of the Light Brigade"
"Not the six hundred.","Charge of the Light Brigade"
"Cannon to right of them,","Charge of the Light Brigade"
"Cannon to left of them,","Charge of the Light Brigade"
"Cannon behind them","Charge of the Light Brigade"
"Volleyed and thundered;","Charge of the Light Brigade"
"Stormed at with shot and shell,","Charge of the Light Brigade"
"While horse and hero fell.","Charge of the Light Brigade"
"They that had fought so well","Charge of the Light Brigade"
"Came through the jaws of Death,","Charge of the Light Brigade"
"Back from the mouth of hell,","Charge of the Light Brigade"
"All that was left of them,","Charge of the Light Brigade"
"Left of six hundred.","Charge of the Light Brigade"
"When can their glory fade?","Charge of the Light Brigade"
"O the wild charge they made!","Charge of the Light Brigade"
"All the world wondered.","Charge of the Light Brigade"
"Honour the charge they made!","Charge of the Light Brigade"
"Honour the Light Brigade,","Charge of the Light Brigade"
"Noble six hundred!","Charge of the Light Brigade"
"Once upon a midnight dreary, while I pondered, weak and weary,","The Raven"
"Over many a quaint and curious volume of forgotten lore—","The Raven"
"While I nodded, nearly napping, suddenly there came a tapping,","The Raven"
"As of some one gently rapping, rapping at my chamber door.","The Raven"
"“’Tis some visitor,” I muttered, “tapping at my chamber door—","The Raven"
"Only this and nothing more.”","The Raven"
"Ah, distinctly I remember it was in the bleak December;","The Raven"
"And each separate dying ember wrought its ghost upon the floor.","The Raven"
"Eagerly I wished the morrow;—vainly I had sought to borrow","The Raven"
"From my books surcease of sorrow—sorrow for the lost Lenore—","The Raven"
"For the rare and radiant maiden whom the angels name Lenore—","The Raven"
"Nameless here for evermore.","The Raven"
"And the silken, sad, uncertain rustling of each purple curtain","The Raven"
"Thrilled me—filled me with fantastic terrors never felt before;","The Raven"
"So that now, to still the beating of my heart, I stood repeating","The Raven"
"“’Tis some visitor entreating entrance at my chamber door—","The Raven"
"Some late visitor entreating entrance at my chamber door;—","The Raven"
"This it is and nothing more.”","The Raven"
"Presently my soul grew stronger; hesitating then no longer,","The Raven"
"“Sir,” said I, “or Madam, truly your forgiveness I implore;","The Raven"
"But the fact is I was napping, and so gently you came rapping,","The Raven"
"And so faintly you came tapping, tapping at my chamber door,","The Raven"
"That I scarce was sure I heard you”—here I opened wide the door;—","The Raven"
"Darkness there and nothing more.","The Raven"
"Deep into that darkness peering, long I stood there wondering, fearing,","The Raven"
"Doubting, dreaming dreams no mortal ever dared to dream before;","The Raven"
"But the silence was unbroken, and the stillness gave no token,","The Raven"
"And the only word there spoken was the whispered word, “Lenore?”","The Raven"
"This I whispered, and an echo murmured back the word, “Lenore!”—","The Raven"
"Merely this and nothing more.","The Raven"
"Back into the chamber turning, all my soul within me burning,","The Raven"
"Soon again I heard a tapping somewhat louder than before.","The Raven"
"“Surely,” said I, “surely that is something at my window lattice;","The Raven"
"Let me see, then, what thereat is, and this mystery explore—","The Raven"
"Let my heart be still a moment and this mystery explore;—","The Raven"
"’Tis the wind and nothing more!”","The Raven"
"Open here I flung the shutter, when, with many a flirt and flutter,","The Raven"
"In there stepped a stately Raven of the saintly days of yore;","The Raven"
"Not the least obeisance made he; not a minute stopped or stayed he;","The Raven"
"But, with mien of lord or lady, perched above my chamber door—","The Raven"
"Perched upon a bust of Pallas just above my chamber door—","The Raven"
"Perched, and sat, and nothing more.","The Raven"
"Then this ebony bird beguiling my sad fancy into smiling,","The Raven"
"By the grave and stern decorum of the countenance it wore,","The Raven"
"“Though thy crest be shorn and shaven, thou,” I said, “art sure no craven,","The Raven"
"Ghastly grim and ancient Raven wandering from the Nightly shore—","The Raven"
"Tell me what thy lordly name is on the Night’s Plutonian shore!”","The Raven"
"Quoth the Raven “Nevermore.”","The Raven"
"Much I marvelled this ungainly fowl to hear discourse so plainly,","The Raven"
"Though its answer little meaning—little relevancy bore;","The Raven"
"For we cannot help agreeing that no living human being","The Raven"
"Ever yet was blessed with seeing bird above his chamber door—","The Raven"
"Bird or beast upon the sculptured bust above his chamber door,","The Raven"
"With such name as “Nevermore.”","The Raven"
"But the Raven, sitting lonely on the placid bust, spoke only","The Raven"
"That one word, as if his soul in that one word he did outpour.","The Raven"
"Nothing farther then he uttered—not a feather then he fluttered—","The Raven"
"Till I scarcely more than muttered “Other friends have flown before—","The Raven"
"On the morrow he will leave me, as my Hopes have flown before.”","The Raven"
"Then the bird said “Nevermore.”","The Raven"
"Startled at the stillness broken by reply so aptly spoken,","The Raven"
"“Doubtless,” said I, “what it utters is its only stock and store","The Raven"
"Caught from some unhappy master whom unmerciful Disaster","The Raven"
"Followed fast and followed faster till his songs one burden bore—","The Raven"
"Till the dirges of his Hope that melancholy burden bore","The Raven"
"Of ‘Never—nevermore’.”","The Raven"
"But the Raven still beguiling all my fancy into smiling,","The Raven"
"Straight I wheeled a cushioned seat in front of bird, and bust and door;","The Raven"
"Then, upon the velvet sinking, I betook myself to linking","The Raven"
"Fancy unto fancy, thinking what this ominous bird of yore—","The Raven"
"What this grim, ungainly, ghastly, gaunt, and ominous bird of yore","The Raven"
"Meant in croaking “Nevermore.”","The Raven"
"This I sat engaged in guessing, but no syllable expressing","The Raven"
"To the fowl whose fiery eyes now burned into my bosom’s core;","The Raven"
"This and more I sat divining, with my head at ease reclining","The Raven"
"On the cushion’s velvet lining that the lamp-light gloated o’er,","The Raven"
"But whose velvet-violet lining with the lamp-light gloating o’er,","The Raven"
"She shall press, ah, nevermore!","The Raven"
"Then, methought, the air grew denser, perfumed from an unseen censer","The Raven"
"Swung by Seraphim whose foot-falls tinkled on the tufted floor.","The Raven"
"“Wretch,” I cried, “thy God hath lent thee—by these angels he hath sent thee","The Raven"
"Respite—respite and nepenthe from thy memories of Lenore;","The Raven"
"Quaff, oh quaff this kind nepenthe and forget this lost Lenore!”","The Raven"
"Quoth the Raven “Nevermore.”","The Raven"
"“Prophet!” said I, “thing of evil!—prophet still, if bird or devil!—","The Raven"
